ID,Date,PrimaryType,Description,LocationDescription,Arrest,Domestic,CommunityArea,Year
12904338,11/26/2022 19:30,Theft,From Building,Department Store,FALSE,FALSE,8,2022
12912227,12/1/2022 17:00,Other Offense,Harassment By Electronic Means,Residence,FALSE,FALSE,24,2022
12914706,12/6/2022 23:09,Assault,Aggravated - Handgun,Street,FALSE,FALSE,55,2022
12913122,12/5/2022 7:46,Robbery,Vehicular Hijacking,Parking Lot / Garage (Non Residential),FALSE,FALSE,28,2022
12898307,11/20/2022 2:39,Burglary,Forcible Entry,Apartment,FALSE,FALSE,77,2022
12924725,12/15/2022 20:30,Motor Vehicle Theft,Automobile,Residence,FALSE,FALSE,76,2022
12932503,12/25/2022 11:30,Battery,Domestic Battery Simple,Hotel / Motel,TRUE,TRUE,28,2022
12921375,12/13/2022 7:00,Motor Vehicle Theft,Automobile,Street,FALSE,FALSE,14,2022
12908363,11/29/2022 16:30,Deceptive Practice,Fraud Or Confidence Game,Apartment,FALSE,FALSE,20,2022
12905455,11/27/2022 22:45,Weapons Violation,Unlawful Use - Other Firearm,Alley,FALSE,FALSE,46,2022
12924878,12/15/2022 15:15,Robbery,Strong Arm - No Weapon,Cta Bus Stop,FALSE,FALSE,71,2022
12919560,12/11/2022 13:35,Robbery,Armed - Handgun,Alley,FALSE,FALSE,23,2022
12927392,12/19/2022 12:45,Battery,Domestic Battery Simple,Apartment,FALSE,TRUE,15,2022
12905113,11/26/2022 18:19,Battery,Domestic Battery Simple,Street,FALSE,TRUE,46,2022
12892192,11/13/2022 23:00,Theft,Retail Theft,Small Retail Store,FALSE,FALSE,16,2022
12925377,12/16/2022 18:00,Robbery,Armed - Other Dangerous Weapon,Sidewalk,FALSE,FALSE,43,2022
12903161,11/25/2022 11:45,Criminal Damage,To Property,Apartment,FALSE,FALSE,42,2022
12912812,12/4/2022 6:00,Motor Vehicle Theft,Automobile,Street,FALSE,FALSE,25,2022
12927431,12/19/2022 11:04,Deceptive Practice,Theft Of Lost / Mislaid Property,Sidewalk,FALSE,FALSE,16,2022
12919107,12/10/2022 21:50,Criminal Damage,To Property,Residence,FALSE,FALSE,46,2022
12930448,12/21/2022 18:00,Theft,Over $500,Street,FALSE,FALSE,16,2022
12903696,11/26/2022 0:05,Battery,Domestic Battery Simple,Apartment,FALSE,TRUE,43,2022
12894018,11/14/2022 10:00,Theft,From Building,Other (Specify),FALSE,FALSE,28,2022
12934991,12/28/2022 14:00,Battery,Domestic Battery Simple,Apartment,FALSE,TRUE,61,2022
12909752,11/30/2022 22:30,Motor Vehicle Theft,Automobile,Street,FALSE,FALSE,43,2022
12910663,12/2/2022 10:00,Motor Vehicle Theft,Automobile,Street,FALSE,FALSE,25,2022
12917399,12/8/2022 17:00,Motor Vehicle Theft,Automobile,Street,FALSE,FALSE,77,2022
12892064,11/13/2022 14:00,Motor Vehicle Theft,Automobile,Street,FALSE,FALSE,40,2022
12925047,12/2/2022 0:00,Other Offense,Harassment By Electronic Means,Medical / Dental Office,FALSE,FALSE,5,2022
12933877,12/27/2022 8:27,Criminal Damage,To Property,Apartment,FALSE,FALSE,73,2022
13000113,11/20/2022 9:00,Deceptive Practice,Fraud Or Confidence Game,Residence,FALSE,FALSE,71,2022
12926352,12/17/2022 20:00,Criminal Damage,To Vehicle,Street,FALSE,FALSE,50,2022
12907183,11/28/2022 8:30,Criminal Trespass,To Residence,Apartment,FALSE,FALSE,19,2022
12926155,12/17/2022 6:00,Battery,Simple,Hospital Building / Grounds,FALSE,FALSE,27,2022
12900979,11/23/2022 0:37,Battery,Domestic Battery Simple,Apartment,FALSE,TRUE,66,2022
12903260,11/24/2022 23:30,Theft,$500 And Under,Driveway - Residential,FALSE,FALSE,28,2022
12905510,11/27/2022 23:12,Weapons Violation,Unlawful Possession - Handgun,Alley,TRUE,FALSE,63,2022
12919660,12/11/2022 17:30,Criminal Damage,To Property,Residence,FALSE,FALSE,61,2022
12934797,12/28/2022 0:00,Other Offense,Harassment By Electronic Means,Residence,FALSE,FALSE,69,2022
12897639,11/19/2022 13:15,Theft,Retail Theft,Small Retail Store,FALSE,FALSE,8,2022
12932021,12/24/2022 19:35,Criminal Damage,To Property,Gas Station,FALSE,FALSE,5,2022
12918317,12/9/2022 22:00,Motor Vehicle Theft,Attempt - Automobile,Street,FALSE,FALSE,31,2022
12903320,11/22/2022 17:00,Robbery,Strong Arm - No Weapon,Cta Train,FALSE,FALSE,44,2022
12909889,12/2/2022 1:40,Criminal Damage,To Vehicle,Street,FALSE,FALSE,43,2022
12897580,11/19/2022 4:00,Battery,Aggravated - Other Dangerous Weapon,Apartment,FALSE,FALSE,25,2022
12929215,12/17/2022 8:30,Battery,Domestic Battery Simple,Apartment,FALSE,TRUE,24,2022
12919218,12/11/2022 0:00,Motor Vehicle Theft,Attempt - Automobile,Street,FALSE,FALSE,23,2022
12936141,12/29/2022 15:43,Theft,$500 And Under,Restaurant,TRUE,FALSE,32,2022
12903210,11/25/2022 13:00,Criminal Damage,To Property,Apartment,FALSE,FALSE,27,2022
12907601,11/21/2022 21:44,Assault,Simple,Street,FALSE,TRUE,43,2022
12899477,11/21/2022 12:50,Battery,Simple,College / University - Grounds,TRUE,FALSE,1,2022
12924809,12/16/2022 9:08,Criminal Damage,To Property,Gas Station,TRUE,FALSE,67,2022
12921948,12/13/2022 16:30,Assault,Simple,Residence,FALSE,FALSE,73,2022
12921999,12/12/2022 19:30,Robbery,Armed - Handgun,Sidewalk,FALSE,FALSE,69,2022
12924509,12/16/2022 10:09,Other Offense,Gun Offender - Annual Registration,Vehicle Non-Commercial,TRUE,FALSE,43,2022
12891256,11/13/2022 1:38,Criminal Damage,To Property,Small Retail Store,FALSE,FALSE,14,2022
12894958,11/16/2022 19:20,Motor Vehicle Theft,Attempt - Automobile,Street,FALSE,FALSE,51,2022
12936114,12/29/2022 16:00,Criminal Damage,To Property,Apartment,FALSE,FALSE,42,2022
12910458,12/2/2022 15:00,Theft,Over $500,Parking Lot / Garage (Non Residential),FALSE,FALSE,18,2022
12917513,12/9/2022 9:35,Battery,Domestic Battery Simple,Residence,FALSE,TRUE,24,2022
12897416,11/17/2022 0:00,Deceptive Practice,Credit Card Fraud,Street,FALSE,FALSE,69,2022
12911635,12/2/2022 23:50,Battery,Simple,Sidewalk,FALSE,FALSE,8,2022
12893600,11/15/2022 11:05,Battery,Simple,Apartment,FALSE,FALSE,66,2022
12904531,11/26/2022 4:49,Criminal Trespass,To Vehicle,Street,FALSE,FALSE,11,2022
12907784,11/30/2022 2:53,Criminal Damage,To Property,Apartment,FALSE,FALSE,25,2022
12919065,12/10/2022 22:10,Offense Involving Children,Endangering Life / Health Of Child,Hospital Building / Grounds,FALSE,FALSE,15,2022
12918359,12/9/2022 22:50,Motor Vehicle Theft,Automobile,Street,FALSE,FALSE,24,2022
12933546,12/26/2022 0:00,Battery,Domestic Battery Simple,Apartment,FALSE,TRUE,71,2022
12914961,12/6/2022 14:00,Theft,$500 And Under,Street,FALSE,FALSE,36,2022
12934570,12/27/2022 23:45,Motor Vehicle Theft,Automobile,Street,FALSE,FALSE,14,2022
12920209,12/11/2022 9:00,Motor Vehicle Theft,Automobile,Street,FALSE,FALSE,6,2022
12917797,12/1/2022 8:30,Other Offense,Other Crime Against Person,Apartment,FALSE,FALSE,46,2022
12942079,12/19/2022 17:00,Criminal Damage,To Vehicle,Residence,FALSE,FALSE,19,2022
12921125,12/3/2022 22:00,Criminal Sexual Assault,Non-Aggravated,Hotel / Motel,FALSE,FALSE,77,2022
12913221,12/5/2022 6:30,Motor Vehicle Theft,Automobile,Street,FALSE,FALSE,35,2022
12915523,12/7/2022 17:00,Deceptive Practice,Illegal Use Cash Card,Street,FALSE,FALSE,14,2022
27241,12/11/2022 2:48,Homicide,First Degree Murder,Street,TRUE,FALSE,15,2022
12932818,12/26/2022 4:53,Criminal Damage,Criminal Defacement,Cta Parking Lot / Garage / Other Property,FALSE,FALSE,14,2022
12928700,12/20/2022 17:00,Assault,Simple,Apartment,FALSE,FALSE,77,2022
12935912,12/29/2022 8:35,Theft,Retail Theft,Tavern / Liquor Store,FALSE,FALSE,6,2022
12906699,11/29/2022 4:00,Motor Vehicle Theft,Attempt - Automobile,Street,FALSE,FALSE,51,2022
12923263,12/13/2022 20:00,Burglary,Unlawful Entry,Apartment,FALSE,FALSE,8,2022
12903967,11/26/2022 8:15,Burglary,Forcible Entry,Residence - Garage,FALSE,FALSE,6,2022
12914335,12/6/2022 17:20,Theft,Over $500,Street,FALSE,FALSE,71,2022
12919930,12/11/2022 17:00,Criminal Damage,To Property,Apartment,FALSE,TRUE,43,2022
12910459,12/2/2022 17:19,Other Offense,Vehicle Title / Registration Offense,Street,TRUE,FALSE,23,2022
12913599,12/5/2022 0:00,Other Offense,Violation Gps Monitoring Device,Residence,FALSE,FALSE,44,2022
12936681,12/30/2022 8:00,Criminal Damage,To Vehicle,Parking Lot / Garage (Non Residential),FALSE,FALSE,28,2022
12932802,12/26/2022 4:13,Theft,Retail Theft,Small Retail Store,FALSE,FALSE,15,2022
12925199,12/16/2022 17:15,Motor Vehicle Theft,Theft / Recovery - Automobile,Alley,FALSE,FALSE,30,2022
12920393,12/5/2022 23:59,Offense Involving Children,Other Offense,Residence,FALSE,FALSE,10,2022
12916380,12/6/2022 18:51,Theft,Retail Theft,Small Retail Store,FALSE,FALSE,14,2022
12908050,11/29/2022 17:00,Criminal Damage,To Vehicle,Street,FALSE,TRUE,45,2022
12897086,11/18/2022 18:47,Motor Vehicle Theft,Attempt - Automobile,Street,FALSE,FALSE,29,2022
12951143,12/20/2022 8:30,Deceptive Practice,Credit Card Fraud,Small Retail Store,FALSE,FALSE,24,2022
12920260,12/9/2022 9:00,Criminal Damage,To Vehicle,Street,FALSE,FALSE,66,2022
12919002,12/10/2022 23:10,Weapons Violation,Unlawful Possession - Handgun,Street,TRUE,FALSE,29,2022
12916920,12/8/2022 13:00,Burglary,Forcible Entry,Apartment,FALSE,FALSE,68,2022
12917343,12/8/2022 18:00,Theft,Pocket-Picking,Hotel / Motel,FALSE,FALSE,8,2022
12916066,12/7/2022 22:00,Criminal Damage,To Property,Residence,FALSE,FALSE,71,2022
12913781,12/2/2022 11:30,Assault,Simple,Small Retail Store,FALSE,FALSE,41,2022
12904774,11/26/2022 23:30,Motor Vehicle Theft,Automobile,Street,FALSE,FALSE,24,2022
12912027,11/26/2022 22:45,Robbery,Strong Arm - No Weapon,Sidewalk,FALSE,FALSE,22,2022
12931421,12/23/2022 10:10,Theft,Over $500,Convenience Store,FALSE,FALSE,77,2022
12911622,12/3/2022 21:15,Weapons Violation,Unlawful Possession - Handgun,Street,TRUE,FALSE,60,2022
12922243,12/13/2022 23:00,Criminal Damage,To Property,Apartment,FALSE,TRUE,29,2022
12910859,12/2/2022 22:40,Criminal Trespass,To Land,Apartment,FALSE,FALSE,44,2022
12901620,11/22/2022 1:00,Burglary,Forcible Entry,Residence - Garage,FALSE,FALSE,66,2022
12906365,11/27/2022 19:28,Theft,Over $500,Vehicle Non-Commercial,FALSE,FALSE,43,2022
12912310,12/4/2022 10:12,Weapons Violation,Unlawful Possession - Handgun,Street,FALSE,FALSE,49,2022
12935327,12/24/2022 18:00,Theft,$500 And Under,Street,FALSE,FALSE,28,2022
12918633,12/10/2022 12:00,Theft,Over $500,Street,FALSE,FALSE,44,2022
12914981,12/5/2022 19:00,Criminal Damage,To Vehicle,Driveway - Residential,FALSE,FALSE,75,2022
12934398,12/27/2022 18:40,Weapons Violation,Unlawful Possession - Handgun,Sidewalk,FALSE,FALSE,42,2022
12937389,12/30/2022 21:19,Criminal Damage,To City Of Chicago Property,Convenience Store,FALSE,FALSE,19,2022
12906564,11/19/2022 7:00,Offense Involving Children,Child Abuse,Apartment,FALSE,FALSE,44,2022
12935534,12/28/2022 0:47,Battery,Domestic Battery Simple,Residence,FALSE,TRUE,68,2022
12930908,12/22/2022 17:16,Battery,Domestic Battery Simple,Residence,FALSE,TRUE,39,2022
12929107,12/15/2022 15:03,Battery,Simple,School - Public Building,FALSE,FALSE,44,2022
12919386,12/11/2022 9:20,Motor Vehicle Theft,Attempt - Automobile,Street,FALSE,FALSE,47,2022
12907543,11/26/2022 12:00,Theft,$500 And Under,Residence,FALSE,FALSE,7,2022
12984225,12/25/2022 7:00,Deceptive Practice,Attempt - Financial Identity Theft,Apartment,FALSE,FALSE,6,2022
12928248,12/19/2022 12:30,Theft,$500 And Under,Apartment,FALSE,FALSE,43,2022
12921291,12/12/2022 4:51,Motor Vehicle Theft,Automobile,Street,TRUE,FALSE,29,2022
12910839,12/3/2022 0:45,Criminal Damage,To Vehicle,Street,TRUE,FALSE,32,2022
12938424,12/29/2022 12:22,Assault,Simple,Restaurant,FALSE,FALSE,15,2022
12932147,12/24/2022 22:05,Motor Vehicle Theft,Automobile,Street,FALSE,FALSE,17,2022
12938070,12/27/2022 16:03,Deceptive Practice,Illegal Use Cash Card,Apartment,FALSE,FALSE,24,2022
12931443,12/23/2022 11:10,Battery,Simple,Restaurant,TRUE,FALSE,32,2022
12897880,11/19/2022 18:30,Motor Vehicle Theft,Attempt - Automobile,Movie House / Theater,FALSE,FALSE,44,2022
12928688,12/20/2022 17:25,Narcotics,Manufacture / Deliver - Crack,Parking Lot / Garage (Non Residential),TRUE,FALSE,26,2022
12903754,11/25/2022 20:30,Motor Vehicle Theft,Automobile,Street,FALSE,FALSE,48,2022
12919164,12/11/2022 1:30,Battery,Aggravated Of A Senior Citizen,Street,FALSE,FALSE,8,2022
12930542,12/22/2022 11:00,Theft,Delivery Container Theft,Vacant Lot / Land,FALSE,FALSE,71,2022
12925846,12/17/2022 6:30,Other Offense,Harassment By Telephone,Residence,FALSE,TRUE,42,2022
12912150,12/2/2022 17:30,Burglary,Forcible Entry,Apartment,FALSE,FALSE,25,2022
12899090,11/21/2022 3:25,Criminal Damage,To Vehicle,Parking Lot / Garage (Non Residential),FALSE,FALSE,32,2022
12899614,11/21/2022 2:00,Motor Vehicle Theft,Attempt - Automobile,Street,FALSE,FALSE,20,2022
12909652,12/1/2022 20:21,Criminal Trespass,To Residence,Apartment,TRUE,FALSE,2,2022
12902612,11/24/2022 19:00,Assault,Simple,Apartment,FALSE,TRUE,61,2022
12906553,11/20/2022 5:00,Theft,Over $500,Airport Terminal Upper Level - Secure Area,FALSE,FALSE,76,2022
12994571,12/1/2022 0:00,Other Offense,Telephone Threat,Residence,FALSE,FALSE,63,2022
12927915,12/13/2022 10:00,Deceptive Practice,Credit Card Fraud,Apartment,FALSE,FALSE,14,2022
12929655,12/21/2022 13:53,Battery,Aggravated - Other Dangerous Weapon,Sidewalk,FALSE,FALSE,23,2022
12905366,11/27/2022 19:00,Assault,Simple,Apartment,FALSE,TRUE,31,2022
12938240,12/27/2022 15:00,Burglary,Forcible Entry,Residence,FALSE,FALSE,6,2022
12897775,11/19/2022 15:15,Assault,Simple,Restaurant,FALSE,FALSE,32,2022
12925808,12/17/2022 16:45,Motor Vehicle Theft,Automobile,Residence - Yard (Front / Back),FALSE,FALSE,68,2022
12933452,12/26/2022 20:42,Criminal Damage,To Vehicle,Street,FALSE,TRUE,45,2022
12896124,11/14/2022 8:30,Assault,Simple,Residence,FALSE,FALSE,49,2022
12896615,11/18/2022 11:36,Battery,Simple,Grocery Food Store,FALSE,FALSE,44,2022
12936832,12/15/2022 9:00,Other Offense,Violate Order Of Protection,Residence,FALSE,TRUE,19,2022
12914997,12/7/2022 0:00,Theft,Retail Theft,Grocery Food Store,FALSE,FALSE,29,2022
12893030,11/13/2022 10:30,Theft,Over $500,Parking Lot / Garage (Non Residential),FALSE,FALSE,32,2022
12930046,12/21/2022 23:05,Criminal Damage,To Property,Apartment,FALSE,FALSE,26,2022
12937807,12/27/2022 0:00,Theft,$500 And Under,Drug Store,FALSE,FALSE,2,2022
12919341,12/10/2022 15:45,Theft,Over $500,Street,FALSE,FALSE,14,2022
27267,12/23/2022 21:04,Homicide,First Degree Murder,Yard,TRUE,FALSE,14,2022
12912770,12/5/2022 5:30,Robbery,Armed - Handgun,Sidewalk,FALSE,FALSE,22,2022
12934775,12/28/2022 0:30,Battery,Domestic Battery Simple,Cha Apartment,FALSE,TRUE,54,2022
12900943,11/22/2022 23:00,Motor Vehicle Theft,Attempt - Automobile,Street,FALSE,FALSE,26,2022
12912756,12/4/2022 0:15,Battery,Simple,Bar Or Tavern,FALSE,FALSE,15,2022
12894560,11/16/2022 12:20,Battery,Domestic Battery Simple,Residence,FALSE,TRUE,61,2022
12908821,11/30/2022 22:15,Criminal Damage,To Vehicle,Driveway - Residential,FALSE,FALSE,58,2022
12931117,12/21/2022 15:45,Motor Vehicle Theft,Automobile,Street,FALSE,FALSE,22,2022
12899007,11/20/2022 23:50,Theft,Over $500,Sidewalk,FALSE,FALSE,25,2022
12932758,12/26/2022 0:20,Battery,Simple,Apartment,FALSE,FALSE,73,2022
12935641,12/29/2022 9:20,Motor Vehicle Theft,Attempt - Automobile,Street,FALSE,FALSE,54,2022
12905108,11/27/2022 13:38,Motor Vehicle Theft,Automobile,Street,FALSE,FALSE,49,2022
12936660,12/27/2022 20:00,Theft,$500 And Under,Residence,FALSE,FALSE,67,2022
12929278,12/21/2022 0:00,Motor Vehicle Theft,Automobile,Street,FALSE,FALSE,69,2022
12929419,12/21/2022 11:49,Narcotics,Found Suspect Narcotics,Street,TRUE,FALSE,38,2022
12913619,12/4/2022 17:10,Other Offense,Telephone Threat,Apartment,FALSE,TRUE,69,2022
12900958,11/22/2022 12:00,Motor Vehicle Theft,Theft / Recovery - Automobile,Alley,FALSE,FALSE,38,2022
12922775,12/13/2022 15:30,Battery,Domestic Battery Simple,Apartment,FALSE,TRUE,44,2022
12917625,11/21/2022 12:00,Deceptive Practice,Bogus Check,Currency Exchange,FALSE,FALSE,71,2022
12935093,12/28/2022 14:49,Theft,Retail Theft,Grocery Food Store,TRUE,FALSE,22,2022
12911310,12/3/2022 2:00,Burglary,Forcible Entry,Restaurant,FALSE,FALSE,49,2022
12945938,12/25/2022 15:00,Deceptive Practice,Credit Card Fraud,Apartment,FALSE,FALSE,32,2022
12930809,12/22/2022 17:30,Assault,Simple,Alley,FALSE,FALSE,23,2022
12934731,12/27/2022 21:00,Theft,$500 And Under,Street,FALSE,FALSE,40,2022
12937047,12/30/2022 13:20,Assault,Simple,Apartment,FALSE,FALSE,54,2022
12911225,12/3/2022 14:20,Deceptive Practice,Credit Card Fraud,Hotel / Motel,FALSE,FALSE,32,2022
12921573,12/12/2022 22:00,Burglary,Unlawful Entry,Restaurant,FALSE,FALSE,73,2022
12895974,11/17/2022 16:05,Theft,Retail Theft,Drug Store,FALSE,FALSE,16,2022
12929856,12/20/2022 18:00,Assault,Simple,Street,FALSE,FALSE,61,2022
12908753,11/30/2022 21:15,Motor Vehicle Theft,Automobile,Residence,FALSE,FALSE,75,2022
12909271,12/1/2022 12:25,Theft,Over $500,Sidewalk,FALSE,FALSE,43,2022
12930851,12/22/2022 11:09,Theft,Retail Theft,Drug Store,FALSE,FALSE,8,2022
12921897,12/13/2022 15:46,Assault,Aggravated - Handgun,Street,FALSE,FALSE,49,2022
12914554,12/6/2022 16:10,Theft,$500 And Under,Grocery Food Store,FALSE,FALSE,33,2022
12918744,12/10/2022 11:30,Stalking,Simple,Residence,FALSE,FALSE,18,2022
12938568,12/30/2022 20:30,Motor Vehicle Theft,Attempt - Automobile,Street,FALSE,FALSE,25,2022
12898521,11/20/2022 13:36,Battery,Domestic Battery Simple,Residence,FALSE,TRUE,29,2022
12922698,12/14/2022 10:30,Assault,Simple,Street,FALSE,FALSE,43,2022
12923707,12/14/2022 22:30,Criminal Damage,To Property,Residence,FALSE,TRUE,71,2022
12916767,12/8/2022 14:55,Criminal Damage,To Property,Apartment,FALSE,TRUE,35,2022
12907645,11/29/2022 20:30,Motor Vehicle Theft,Automobile,Street,FALSE,FALSE,69,2022
12919545,12/11/2022 3:20,Motor Vehicle Theft,Automobile,Street,FALSE,FALSE,4,2022
12912720,12/3/2022 18:00,Motor Vehicle Theft,Automobile,Street,FALSE,FALSE,30,2022
12913888,12/6/2022 9:30,Narcotics,Manufacture / Deliver -  Heroin (White),Sidewalk,TRUE,FALSE,23,2022
12941302,12/28/2022 21:02,Theft,Retail Theft,Drug Store,FALSE,FALSE,77,2022
12917522,12/9/2022 0:00,Burglary,Forcible Entry,Restaurant,FALSE,FALSE,44,2022
